Number of bedrooms,Number of bathrooms,Living area,Lot area,Average Room Size,Floor Area Ratio,Number of floors,Waterfront present,Average views number,Condition of the house,Built Year,House Age,Renovation Year,Was Renovated,Postal Code,Number of schools nearby,Distance from the airport,Price
3,2,1200,9720,400,0.12,1.0,0,0,4,1965,58,1965,No,122035,3,77,242500
2,1,1210,9400,605,0.13,1.0,0,0,2,1949,74,1949,No,122034,3,73,235000
4,3,2920,6605,730,0.44,2.0,0,0,3,2012,11,2012,No,122015,1,62,625000
2,1,900,5000,450,0.18,1.0,0,0,3,1944,79,1944,No,122007,1,68,553000
3,3,1650,14054,550,0.12,1.0,0,0,4,1986,37,1986,No,122012,2,57,379880
3,1,1010,9945,336,0.1,1.0,0,0,4,1973,50,1973,No,122008,3,60,310000
3,3,2850,7130,950,0.4,2.0,0,0,3,1980,43,1980,No,122044,1,52,783500
2,3,2680,7392,1340,0.36,1.0,0,0,3,2004,19,2004,No,122045,2,65,775000
4,2,2280,6010,570,0.38,1.0,0,0,3,1900,123,1900,No,122044,1,51,628000
3,3,2200,7350,733,0.3,1.0,0,0,5,1988,35,1988,No,122046,2,53,365000
4,3,2530,9933,632,0.25,2.0,0,2,3,1990,33,1990,No,122023,2,59,331950
2,3,2220,4000,1110,0.56,2.0,0,0,3,2000,23,2000,No,122047,3,67,1430000
5,4,4010,8510,802,0.47,2.0,0,1,5,1971,52,1971,No,122004,1,50,1400000
5,3,3190,16920,638,0.19,1.0,0,3,3,1976,47,1976,No,122027,1,53,1030000
4,5,4420,5750,1105,0.77,2.0,0,0,3,2006,17,2006,No,122012,1,57,890000
5,4,4490,6000,898,0.75,2.0,0,0,3,2006,17,2006,No,122012,2,70,890000
4,3,3690,9892,922,0.37,2.0,0,0,3,1998,25,1998,No,122020,3,62,865000
4,3,2600,5390,650,0.48,1.0,0,0,4,1960,63,1960,No,122032,2,69,855000
4,3,2170,4000,542,0.54,2.0,0,0,4,1982,41,2011,Yes,122047,3,73,831000
4,3,3400,9692,850,0.35,2.0,0,0,3,2007,16,2007,No,122005,3,58,830000
6,2,2920,5000,486,0.58,2.5,0,0,4,1908,115,1908,No,122044,3,68,823000
5,3,3180,13806,636,0.23,2.0,0,0,4,1990,33,1990,No,122010,1,76,800866
3,3,3240,7857,1080,0.41,2.0,0,0,3,1994,29,1994,No,122020,3,66,800000
3,2,1330,7500,443,0.18,1.0,0,0,3,1961,62,1961,No,122048,3,56,787000
4,3,2730,10281,682,0.27,2.0,0,2,3,1996,27,1996,No,122019,3,79,780000
3,2,2350,5700,783,0.41,1.5,0,0,4,1939,84,1939,No,122047,1,77,770000
4,3,2120,10202,530,0.21,1.0,0,0,4,1960,63,1960,No,122049,2,73,755000
4,2,2010,3600,502,0.56,1.5,0,0,3,1902,121,1902,No,122003,2,55,740000
4,3,3180,21904,795,0.15,2.0,0,3,3,2000,23,2000,No,122015,2,77,736500
4,3,2450,4247,612,0.58,2.0,0,0,3,2013,10,2013,No,122005,1,75,712198
3,3,2490,4343,830,0.57,2.0,0,0,3,2003,20,2003,No,122011,3,59,705380
3,3,1680,2000,560,0.84,3.0,0,0,3,1909,114,1998,Yes,122004,3,69,670000
4,3,2800,5900,700,0.47,1.0,0,0,3,1963,60,1963,No,122006,2,63,665000
4,1,1390,4240,347,0.33,1.0,0,0,3,1924,99,1924,No,122028,1,68,657100
3,2,2160,9000,720,0.24,1.0,0,2,4,1949,74,1949,No,122050,2,75,650000
4,3,2440,6651,610,0.37,2.0,0,0,3,2014,9,2014,No,122007,2,77,631625
4,3,1990,7712,497,0.26,1.0,0,0,3,1973,50,1973,No,122012,3,61,627000
3,2,1480,2185,493,0.68,2.5,0,0,3,2005,18,2005,No,122033,2,52,620000
3,2,1800,5000,600,0.36,1.0,0,0,4,1942,81,1942,No,122006,1,69,618500
4,2,2300,11700,575,0.2,1.0,0,0,4,1977,46,1977,No,122005,3,50,615000
3,2,1880,6360,626,0.3,1.0,0,0,4,1945,78,1945,No,122006,2,57,600000
2,1,1770,8640,885,0.2,1.5,0,0,3,1949,74,1949,No,122007,3,77,585000
2,1,2540,7000,1270,0.36,1.0,0,0,5,1942,81,1942,No,122051,3,77,580000
3,3,2010,6000,670,0.34,1.0,0,0,3,1975,48,1975,No,122005,2,78,570000
3,3,1900,8744,633,0.22,2.0,0,0,3,1987,36,1987,No,122019,2,58,560000
3,3,1940,3211,646,0.6,2.0,0,0,3,2009,14,2009,No,122012,3,60,555000
2,1,1140,5400,570,0.21,1.0,0,0,5,1908,115,1908,No,122047,1,68,549000
4,3,2910,6338,727,0.46,2.0,0,0,3,2008,15,2008,No,122015,3,54,549000
5,3,2740,8426,548,0.33,1.0,0,0,4,1960,63,1960,No,122027,1,69,541125
3,2,1560,5520,520,0.28,1.0,0,0,4,1944,79,1944,No,122032,3,70,524000
3,3,1790,2700,596,0.66,2.0,0,0,3,2010,13,2010,No,122012,1,79,509900
4,1,2070,7519,517,0.28,1.0,0,0,3,1963,60,1963,No,122029,2,56,501000
4,3,2910,6479,727,0.45,2.0,0,0,3,2006,17,2006,No,122008,1,50,499000
6,3,3200,9200,533,0.35,1.0,0,2,4,1953,70,1953,No,122052,2,56,497300
4,2,2010,9211,502,0.22,1.0,0,0,3,1977,46,1977,No,122033,3,62,487585
4,3,2340,7048,585,0.33,1.0,0,0,4,1979,44,1979,No,122033,1,53,485000
3,3,3040,4535,1013,0.67,2.0,0,0,3,2007,16,2007,No,122053,2,79,478000
4,2,1480,3844,370,0.39,1.5,0,0,5,1928,95,1928,No,122038,1,73,449250
5,2,1840,9240,368,0.2,1.0,0,0,4,1942,81,1958,Yes,122038,3,78,435000
3,2,1410,6030,470,0.23,1.5,0,0,4,1930,93,1930,No,122028,2,51,418000
2,2,2110,9519,1055,0.22,1.0,0,0,2,1948,75,1948,No,122014,2,77,400000
2,1,840,5510,420,0.15,1.0,0,0,3,1955,68,1955,No,122016,2,79,400000
3,3,2230,4000,743,0.56,2.0,0,0,3,1954,69,1954,No,122054,3,78,398750
5,3,3090,12750,618,0.24,1.0,0,0,3,1968,55,1968,No,122018,2,63,384900
4,2,1970,9389,492,0.21,1.0,0,0,5,1960,63,1960,No,122038,1,72,379950
3,3,1571,10800,523,0.15,3.0,0,0,3,2008,15,2008,No,122022,1,62,366750
5,1,1120,9022,224,0.12,1.5,0,0,4,1962,61,1962,No,122033,3,69,340000
2,2,1160,1438,580,0.81,2.0,0,0,3,2001,22,2001,No,122054,1,72,340000
2,1,1140,5250,570,0.22,1.5,0,0,4,1949,74,1949,No,122038,2,65,329950
4,3,2370,6500,592,0.36,2.0,0,0,3,1998,25,1998,No,122023,3,60,328000
4,3,2310,5000,577,0.46,2.0,0,0,3,2006,17,2006,No,122024,3,68,309950
3,3,1880,7838,626,0.24,2.0,0,0,3,1994,29,1994,No,122042,3,52,309950
3,2,1050,10072,350,0.1,1.0,0,0,3,1986,37,1986,No,122055,3,56,300000
3,1,1450,6000,483,0.24,1.0,0,0,4,1953,70,1953,No,122051,2,61,287000
3,2,1550,15040,516,0.1,1.0,0,0,4,1958,65,1958,No,122015,3,65,249950
3,2,1920,9306,640,0.21,1.0,0,0,3,1984,39,1984,No,122039,3,54,245000
2,1,1200,8063,600,0.15,1.0,0,0,4,1958,65,1958,No,122043,2,56,232000
4,2,1240,9600,310,0.13,1.0,0,0,3,1971,52,1971,No,122018,1,52,220000
4,2,1120,5427,280,0.21,1.0,0,0,3,1969,54,2014,Yes,122035,3,77,219900
5,2,2050,10200,410,0.2,1.0,0,0,3,1956,67,1956,No,122043,1,73,210000
2,1,810,7158,405,0.11,1.0,0,0,5,1944,79,1944,No,122056,2,75,206000
3,2,1490,10125,496,0.15,1.0,0,0,4,1962,61,1962,No,122039,1,55,184000
4,4,3760,10920,940,0.34,1.5,0,0,5,1950,73,1950,No,122004,3,62,1580000
4,3,3490,6906,872,0.51,2.0,0,0,4,1928,95,1928,No,122032,1,61,1230000
4,3,3370,8103,842,0.42,1.0,0,3,3,1970,53,2014,Yes,122016,2,60,1140000
3,3,2690,4047,896,0.66,3.0,0,0,3,2014,9,2014,No,122007,1,65,979000
3,4,3020,4082,1006,0.74,2.0,0,0,3,1954,69,2004,Yes,122032,1,60,910000
4,3,3040,6425,760,0.47,2.0,0,0,3,2008,15,2008,No,122005,2,57,776000
4,3,3880,14550,970,0.27,2.0,0,0,3,1987,36,1987,No,122019,3,55,762300
4,3,2290,12047,572,0.19,2.0,0,0,4,1988,35,1988,No,122027,1,50,736000
4,3,3200,12369,800,0.26,2.0,0,0,3,1998,25,1998,No,122015,2,61,725126
4,3,3030,7864,757,0.39,2.0,0,0,3,1999,24,1999,No,122019,3,74,685000
4,4,3380,8330,845,0.41,2.0,0,0,3,2000,23,2000,No,122050,2,76,655500
3,2,1630,7475,543,0.22,1.0,0,1,3,1940,83,1940,No,122006,1,65,650000
4,2,2060,5000,515,0.41,1.0,0,0,3,1949,74,2013,Yes,122007,1,66,612500
4,3,2450,10117,612,0.24,1.0,0,0,5,1967,56,1967,No,122027,2,78,610000
4,3,2110,13850,527,0.15,2.0,0,0,3,1987,36,1987,No,122012,2,50,606000
4,4,3569,8327,892,0.43,2.0,0,0,3,2013,10,2013,No,122042,1,69,580000
3,2,2130,6500,710,0.33,1.0,0,2,3,1954,69,1954,No,122032,3,58,575000
4,3,3100,15480,775,0.2,2.0,0,0,3,1996,27,1996,No,122058,2,67,563000
5,3,3040,8111,608,0.37,2.0,0,0,3,1984,39,1984,No,122005,3,72,562000
3,2,2000,5500,666,0.36,2.0,0,0,3,1916,107,1986,Yes,122016,2,62,561000
3,3,1850,10109,616,0.18,2.0,0,0,3,1991,32,1991,No,122033,3,56,535000
5,3,1800,3780,360,0.48,1.5,0,0,3,1926,97,1926,No,122028,1,79,533000
5,3,2910,5133,582,0.57,1.0,0,0,4,1964,59,1964,No,122029,3,54,530000
3,3,2970,11985,990,0.25,1.0,0,0,3,1995,28,1995,No,122019,3,70,525000
3,2,1430,8000,476,0.18,1.0,0,0,4,1956,67,1956,No,122030,2,78,518000
3,3,1790,7167,596,0.25,2.0,0,0,3,1989,34,1989,No,122019,3,71,515000
4,3,2000,5684,500,0.35,2.0,0,0,3,1996,27,1996,No,122058,3,72,513000
2,2,1170,2400,585,0.49,1.0,0,0,4,1903,120,1903,No,122028,1,54,499000
5,2,2020,5000,404,0.4,1.5,0,0,4,1938,85,1938,No,122007,1,57,488000
3,2,1420,4080,473,0.35,1.5,0,0,3,1905,118,2013,Yes,122028,2,55,485000
2,2,1660,6000,830,0.28,1.0,0,0,3,1942,81,1942,No,122004,2,76,484000
2,1,1030,4400,515,0.23,1.0,0,0,3,1924,99,1924,No,122007,2,61,469000
3,3,1970,11088,656,0.18,1.0,0,0,4,1967,56,1967,No,122014,3,56,465000
5,3,2240,7770,448,0.29,1.0,0,0,3,1978,45,1978,No,122033,2,52,455000
2,2,1100,3000,550,0.37,1.5,0,0,3,1912,111,2005,Yes,122007,3,70,450000
4,2,1520,7983,380,0.19,1.0,0,0,5,1967,56,1967,No,122033,1,60,425000
4,3,2810,23400,702,0.12,1.0,0,1,3,1958,65,1958,No,122043,1,71,407000
4,2,1840,10720,460,0.17,1.0,0,0,3,1958,65,1958,No,122029,1,64,404000
4,2,1440,7680,360,0.19,1.0,0,0,3,1971,52,1971,No,122033,3,66,397000
3,2,1260,6500,420,0.19,1.0,0,0,4,1966,57,1966,No,122029,3,51,390000
5,4,2890,5000,578,0.58,1.0,0,0,3,2006,17,2006,No,122059,1,72,390000
3,1,1230,9568,410,0.13,1.0,0,0,5,1962,61,1962,No,122053,2,56,387000
3,2,1900,5520,633,0.34,1.0,0,0,3,1982,41,1982,No,122051,3,50,385000
4,2,1500,11600,375,0.13,1.0,0,0,4,1955,68,1955,No,122058,2,65,379900
3,2,1270,1320,423,0.96,3.0,0,0,3,2006,17,2006,No,122028,2,59,369950
3,2,1410,9647,470,0.15,1.0,0,0,3,1961,62,1961,No,122050,2,78,367500
3,2,1310,8160,436,0.16,1.0,0,0,3,1950,73,1950,No,122038,1,69,365000
3,3,1640,14374,546,0.11,1.0,0,0,4,1963,60,1963,No,122060,2,70,362000
4,2,2680,18768,670,0.14,1.0,0,0,5,1965,58,1965,No,122039,1,54,360000
3,1,1350,7740,450,0.17,1.0,0,0,4,1947,76,1947,No,122022,2,64,353000
4,3,2331,3826,582,0.61,2.0,0,0,3,2007,16,2007,No,122046,2,65,345000
3,1,1110,6250,370,0.18,1.0,0,0,3,1956,67,1956,No,122006,3,61,345000
2,1,720,6687,360,0.11,1.0,0,0,3,1942,81,1942,No,122007,2,53,329350
4,3,1890,12040,472,0.16,1.0,0,0,3,1980,43,1980,No,122034,1,78,325000
3,1,1510,6083,503,0.25,1.0,0,0,4,1940,83,1940,No,122006,2,73,313950
4,2,1300,7054,325,0.18,1.0,0,0,3,1950,73,2013,Yes,122052,1,64,312000
3,3,1980,8000,660,0.25,1.0,0,0,4,1974,49,1974,No,122018,3,51,295000
4,3,2000,5390,500,0.37,2.0,0,0,3,2003,20,2003,No,122035,3,73,284000
3,2,1630,11800,543,0.14,1.0,0,0,4,1971,52,1971,No,122025,2,75,280000
3,2,1580,8151,526,0.19,1.0,0,1,4,1962,61,1962,No,122043,3,79,279900
3,3,1650,13816,550,0.12,2.0,0,0,3,1998,25,1998,No,122041,1,61,272000
3,1,1050,6874,350,0.15,1.0,0,0,3,1954,69,1954,No,122038,3,53,250000
3,2,1490,8366,496,0.18,1.0,0,0,4,1975,48,1975,No,122035,1,74,234000
2,1,900,5160,450,0.17,1.0,0,0,3,1952,71,1952,No,122034,2,68,219000
3,2,1850,7684,616,0.24,1.0,0,0,3,1979,44,1979,No,122018,2,55,218000
3,2,1690,7735,563,0.22,1.0,0,0,4,1976,47,1976,No,122039,2,52,197000
3,2,800,8850,266,0.09,1.0,0,0,4,1959,64,1959,No,122018,2,50,191000
3,1,1010,7034,336,0.14,1.0,0,0,3,1954,69,1954,No,122042,1,50,175000
3,2,1420,8580,473,0.17,1.0,0,0,3,1962,61,1962,No,122018,1,71,136500
2,1,780,16344,390,0.05,1.0,0,0,1,1942,81,1942,No,122056,2,51,78000
5,5,4270,8076,854,0.53,2.0,0,0,3,2007,16,2007,No,122010,2,72,1530000
6,3,3560,6480,593,0.55,2.5,0,0,4,1914,109,1914,No,122047,2,66,1500000
3,3,2960,5500,986,0.54,2.0,0,2,3,1937,86,1990,Yes,122032,3,80,1340000
4,2,2310,13300,577,0.17,1.0,0,0,3,1950,73,1950,No,122048,2,61,1110000
4,4,3900,8391,975,0.46,2.0,0,0,3,2006,17,2006,No,122010,2,73,1040000
4,3,1890,5940,472,0.32,1.0,0,1,3,1963,60,1963,No,122047,1,62,940000
4,2,2210,8556,552,0.26,1.0,0,1,4,1954,69,1954,No,122032,1,65,794154
3,2,2540,7200,846,0.35,1.5,0,3,4,1905,118,1905,No,122054,2,72,775000
4,3,2410,9549,602,0.25,1.0,0,0,4,1956,67,1956,No,122010,2,63,758000
3,3,2520,23790,840,0.11,1.0,0,0,4,1946,77,1946,No,122003,2,80,750000
4,3,2600,6050,650,0.43,2.0,0,0,5,1949,74,1949,No,122009,2,78,749950
4,3,2650,4316,662,0.61,1.5,0,0,3,1905,118,2013,Yes,122009,3,53,705000
3,2,1760,6428,586,0.27,1.0,0,0,4,1942,81,1942,No,122032,3,74,690000
3,2,1680,10500,560,0.16,1.0,0,0,4,1959,64,1959,No,122049,2,70,675000
4,4,3680,18804,920,0.2,2.0,0,0,3,1990,33,1990,No,122019,2,79,675000
3,3,2270,5175,756,0.44,2.0,0,0,3,2002,21,2002,No,122053,1,62,640000
2,3,2550,5663,1275,0.45,1.0,0,0,3,2011,12,2011,No,122053,3,80,630000
3,3,2030,6500,676,0.31,2.0,0,0,3,1988,35,1988,No,122012,1,66,618080
9,5,3830,6988,425,0.55,2.5,0,0,3,1938,85,1938,No,122028,1,62,599999
3,2,1960,4788,653,0.41,1.0,0,0,4,1920,103,1920,No,122006,2,66,599000
4,2,2510,13695,627,0.18,1.0,0,0,4,1961,62,2001,Yes,122010,2,74,581000
4,2,1650,5000,412,0.33,1.0,0,0,3,1955,68,1955,No,122007,3,53,575000
3,2,2350,5080,783,0.46,1.5,0,0,3,1929,94,1929,No,122051,1,65,568000
3,2,1860,13374,620,0.14,1.0,0,0,3,1985,38,1985,No,122012,3,57,560000
7,6,3700,7647,528,0.48,2.0,0,1,3,1948,75,1984,Yes,122014,1,65,540000
3,3,2280,2289,760,1.0,2.0,0,0,3,2006,17,2006,No,122012,3,65,535000
3,1,1340,4284,446,0.31,1.0,0,0,3,1910,113,1910,No,122004,2,71,530000
2,2,1550,2400,775,0.65,1.5,0,0,4,1900,123,1900,No,122028,3,66,526000
3,3,1170,1249,390,0.94,3.0,0,0,3,2014,9,2014,No,122026,3,59,519950
3,2,1580,9147,526,0.17,1.0,0,1,4,1967,56,1967,No,122029,3,62,515000
4,3,2430,5203,607,0.47,2.0,0,0,3,2003,20,2003,No,122014,3,58,510000
3,3,1540,6760,513,0.23,1.0,0,0,5,1980,43,1980,No,122033,3,67,503000
2,1,1010,3885,505,0.26,1.5,0,0,4,1906,117,1990,Yes,122047,1,65,500000
3,1,990,6000,330,0.17,1.0,0,0,3,1943,80,1943,No,122004,1,57,495000
4,3,2656,21195,664,0.13,2.0,0,0,3,2014,9,2014,No,122039,1,72,495000
4,3,3305,16164,826,0.2,1.5,0,0,5,1922,101,1956,Yes,122038,1,58,492000
3,2,1610,4160,536,0.39,1.0,0,0,4,1917,106,1917,No,122016,2,70,485000
4,3,2180,11200,545,0.19,1.0,0,0,4,1968,55,1968,No,122021,1,76,480500
2,1,820,2723,410,0.3,1.0,0,0,3,1921,102,1921,No,122028,1,80,475000
3,2,1760,9055,586,0.19,2.0,0,0,4,1985,38,1985,No,122005,2,61,460000
3,2,1500,6180,500,0.24,1.0,0,0,4,1947,76,1947,No,122051,3,68,440000
2,2,1350,3900,675,0.35,1.0,0,0,3,2003,20,2003,No,122045,1,80,428000
2,2,1040,3500,520,0.3,1.5,0,0,4,1904,119,1904,No,122054,2,72,420000
3,3,1770,8165,590,0.22,2.0,0,0,3,1977,46,1977,No,122033,2,73,420000
4,3,1830,9548,457,0.19,2.0,0,0,3,1991,32,1991,No,122058,1,66,415000
4,3,2140,13000,535,0.16,1.0,0,0,3,1968,55,1968,No,122058,3,67,409500
3,3,1660,8307,553,0.2,1.0,0,0,4,1961,62,1961,No,122038,3,74,405000
5,2,3000,6000,600,0.5,1.0,0,0,5,1958,65,1958,No,122063,1,66,380000
2,1,1640,17335,820,0.09,1.0,0,0,3,1978,45,1978,No,122045,3,66,379500
3,3,1830,13042,610,0.14,2.0,0,0,3,1990,33,1990,No,122024,1,50,375000
5,3,2410,5003,482,0.48,1.0,0,0,3,2008,15,2008,No,122051,3,78,365000
2,1,820,6400,410,0.13,1.0,0,0,4,1944,79,1944,No,122064,2,66,361280
5,3,2420,8560,484,0.28,1.0,0,2,3,1978,45,1978,No,122051,2,55,352000
3,1,1010,9360,336,0.11,1.0,0,0,3,1981,42,1981,No,122010,1,67,350000
3,3,1630,12295,543,0.13,2.0,0,0,4,1985,38,1985,No,122046,2,59,339950
3,2,1570,7200,523,0.22,1.0,0,0,4,1952,71,1952,No,122014,3,59,335000
3,1,1040,16986,346,0.06,1.0,0,0,4,1968,55,1968,No,122015,1,76,314950
3,2,1870,12381,623,0.15,1.0,0,0,4,1957,66,1957,No,122040,2,77,314500
3,2,1840,10723,613,0.17,1.0,0,0,4,1974,49,1974,No,122046,2,62,310000
3,3,1600,3573,533,0.45,2.0,0,0,3,2013,10,2013,No,122053,2,73,305450
2,1,760,3001,380,0.25,1.0,0,0,3,1913,110,1913,No,122054,2,73,300000
3,3,1600,4271,533,0.37,2.0,0,0,3,2000,23,2000,No,122039,2,62,280000
3,3,1600,7000,533,0.23,2.0,0,0,4,1993,30,1993,No,122024,2,56,275000
5,2,1500,7112,300,0.21,1.0,0,0,5,1920,103,1920,No,122031,1,63,265000
5,3,2060,8632,412,0.24,1.0,0,0,3,1962,61,1962,No,122052,1,60,255000
3,2,1250,10122,416,0.12,1.0,0,0,3,1994,29,1994,No,122062,1,53,253000
1,1,1100,4373,1100,0.25,1.0,0,0,2,1947,76,1947,No,122031,3,62,250000
3,1,1110,8423,370,0.13,1.0,0,0,3,1952,71,1952,No,122031,3,69,249000
4,2,1720,10018,430,0.17,1.0,0,0,5,1960,63,1960,No,122035,3,66,248500
3,1,1400,7410,466,0.19,1.0,0,0,3,1944,79,1944,No,122031,2,61,246000
3,2,1260,1270,420,0.99,2.0,0,0,3,2005,18,2005,No,122038,3,65,245000
3,2,1410,7566,470,0.19,1.0,0,0,3,1985,38,1985,No,122065,2,73,239900
3,3,1920,9180,640,0.21,2.0,0,0,3,1988,35,1988,No,122042,1,80,230000
3,2,1640,10762,546,0.15,1.0,0,0,3,1988,35,1988,No,122035,2,78,226500
3,2,1380,11130,460,0.12,1.0,0,0,3,1960,63,1960,No,122040,1,78,209950
4,1,1490,6600,372,0.23,1.0,0,0,3,1969,54,1969,No,122056,2,68,185000
2,1,1040,13100,520,0.08,1.0,0,0,5,1912,111,1912,No,122066,1,66,160000
2,1,910,22000,455,0.04,1.0,0,0,3,1956,67,1956,No,122039,2,79,100000
3,2,2430,12757,810,0.19,1.0,0,2,4,1952,71,1952,No,122048,3,59,1500000
5,4,2800,3200,560,0.88,1.5,0,0,5,1932,91,2002,Yes,122061,3,79,1310000
4,4,3820,24166,955,0.16,2.0,0,1,4,1990,33,1990,No,122057,1,72,1250000
4,1,3410,5000,852,0.68,2.0,0,0,5,1910,113,1910,No,122054,1,58,1040000
3,3,2015,16807,671,0.12,2.0,1,4,3,2007,16,2007,No,122031,2,71,988500
5,3,3160,11470,632,0.28,1.0,0,0,4,1971,52,1971,No,122057,2,52,980000
3,4,2640,4080,880,0.65,2.0,0,0,3,1912,111,2000,Yes,122004,1,78,930000
3,3,2920,3942,973,0.74,3.0,0,0,3,2008,15,2008,No,122053,3,65,868500
4,2,1910,6960,477,0.27,1.5,0,0,5,1941,82,1941,No,122028,1,63,835000
5,3,3040,9601,608,0.32,1.0,0,0,5,1968,55,1968,No,122057,2,50,830000
4,2,2480,9195,620,0.27,1.0,0,0,3,1950,73,1950,No,122048,2,75,780000
4,3,2660,5500,665,0.48,2.0,0,2,3,2003,20,2003,No,122011,2,64,753888
3,3,1690,4500,563,0.38,1.5,0,1,4,1928,95,1928,No,122009,3,51,719000
4,3,3290,6465,822,0.51,2.0,0,0,3,2002,21,2002,No,122020,3,63,716500
3,1,1250,4620,416,0.27,1.5,0,0,4,1900,123,1900,No,122028,1,60,712000
3,2,1320,5750,440,0.23,1.5,0,0,5,1918,105,1918,No,122009,2,52,660000
4,2,2060,26036,515,0.08,1.0,0,0,4,1947,76,1947,No,122031,1,69,647500
2,2,1230,3600,615,0.34,1.5,0,0,5,1925,98,1925,No,122003,2,79,636000
2,1,1540,6872,770,0.22,1.0,0,0,4,1946,77,1946,No,122003,3,72,615000
